trndesc,player,club_badge,club,fee
Departures 21/22,Danny Rose,,Without Club,-
Departures 21/22,Paulo Gazzaniga,,Without Club,-
Arrivals 20/21,Giovani Lo Celso,,Real Betis,£28.80m
Arrivals 20/21,Sergio Reguilón,,Real Madrid,£27.00m
Arrivals 20/21,Matt Doherty,,Wolves,£15.12m
Arrivals 20/21,Pierre-Emile Höjbjerg,,Southampton,£14.94m
Arrivals 20/21,Joe Rodon,,Swansea,£10.89m
Arrivals 20/21,Carlos Vinícius,,Benfica,Loan fee:£2.70m
Arrivals 20/21,Joe Hart,,Burnley,free transfer
Arrivals 20/21,Gareth Bale,,Real Madrid,loan transfer
Arrivals 20/21,Oliver Skipp,,Norwich,End of loan
Arrivals 20/21,Cameron Carter-Vickers,,Bournemouth,End of loan
Arrivals 20/21,Jack Clarke,,Stoke City,End of loan
Departures 20/21,Kyle Walker-Peters,,Southampton,£11.97m
Departures 20/21,Jan Vertonghen,,Benfica,free transfer
Departures 20/21,Jack Clarke,,Stoke City,loan transfer
Departures 20/21,Paulo Gazzaniga,,Elche CF,loan transfer
Departures 20/21,Oliver Skipp,,Norwich,loan transfer
Departures 20/21,Juan Foyth,,Villarreal,loan transfer
Departures 20/21,Ryan Sessegnon,,TSG Hoffenheim,loan transfer
Departures 20/21,Cameron Carter-Vickers,,Bournemouth,loan transfer
Departures 20/21,Gedson Fernandes,,Benfica,End of loan
Departures 20/21,Michel Vorm,,Retired,-
Arrivals 19/20,Tanguy Ndombélé,,Olympique Lyon,£54.00m
Arrivals 19/20,Steven Bergwijn,,PSV Eindhoven,£27.00m
Arrivals 19/20,Ryan Sessegnon,,Fulham,£24.30m
Arrivals 19/20,Giovani Lo Celso,,Real Betis,Loan fee:£14.40m
Arrivals 19/20,Jack Clarke,,Leeds,£9.90m
Arrivals 19/20,Gedson Fernandes,,Benfica,Loan fee:£4.05m
Arrivals 19/20,Jack Clarke,,Leeds,End of loan
Arrivals 19/20,Cameron Carter-Vickers,,Stoke City,End of loan
Arrivals 19/20,Japhet Tanganga,,Tottenham U23,-
Arrivals 19/20,Alfie Whiteman,,Tottenham U23,-
Arrivals 19/20,Michel Vorm,,Without Club,-
